Date,Open,High,Low,Close,Volume
2018-10-19,392.23,429.23,389.31,424.23,76199
2018-10-22,429.23,456.25,429.23,447.23,73109
2018-10-23,443.23,443.23,389.23,395.97,123113
2018-10-24,382.34,404.23,374.23,391.22,76113
2018-10-25,374.23,376.73,362.81,373.23,75568
2018-10-26,373.23,379.23,362.21,364.33,55327
2018-10-29,303.32,303.32,303.32,303.32,49076
2018-10-30,264.23,297.23,263.25,278.23,204397
2018-10-31,281.23,309.23,276.23,303.13,96885
2018-11-01,309.23,339.73,305.48,317.23,98107
2018-11-02,339.23,354.23,326.47,354.13,89157
2018-11-05,347.23,347.23,326.0,330.03,75517
2018-11-06,328.23,328.39,312.24,320.23,45566
2018-11-07,323.23,329.18,316.24,320.63,38108
2018-11-08,328.23,331.23,322.23,324.57,33764
2018-11-09,321.45,323.23,316.23,316.23,24337
2018-11-12,307.23,308.43,291.03,306.23,67824
2018-11-13,300.35,324.23,297.23,324.23,66429
2018-11-14,324.19,324.19,306.78,309.33,41767
2018-11-15,313.03,319.03,309.73,313.93,30833
2018-11-16,315.23,320.23,312.26,314.23,28939
2018-11-19,314.53,326.23,313.34,323.25,36179
2018-11-20,319.23,322.23,314.23,315.83,26943
2018-11-21,308.23,323.13,307.91,318.93,27107
2018-11-22,319.38,321.56,312.23,318.73,21213
2018-11-23,318.23,321.53,311.13,311.13,20126
2018-11-26,312.23,314.43,306.23,306.34,19120
2018-11-27,306.23,309.22,300.73,302.33,20234
2018-11-28,305.08,313.42,299.73,311.23,27738
2018-11-29,320.26,324.03,303.24,305.83,45069
2018-11-30,311.23,323.12,307.23,319.23,49010
2018-12-03,343.23,359.23,339.0,355.43,83415
2018-12-04,357.22,358.49,349.23,356.46,31474
2018-12-05,351.73,370.73,349.23,364.33,41588
2018-12-06,354.23,360.21,344.59,346.03,37758
2018-12-07,349.83,353.09,338.93,341.23,26842
2018-12-10,330.23,341.73,328.41,331.46,24641
2018-12-11,331.23,340.78,331.23,337.22,16317
2018-12-12,343.02,343.43,337.03,343.23,19922
2018-12-13,344.23,361.11,343.83,355.98,40399
2018-12-14,352.24,354.03,346.23,347.19,24554
2018-12-17,346.8,350.2,339.24,344.75,24896
2018-12-18,340.11,345.77,339.23,345.17,19222
2018-12-19,343.23,345.22,330.26,332.03,25716
