Date,Open,High,Low,Close,Volume
2018-01-02,20.9731584,21.381184,20.8703488,21.156288,12714077
2018-01-03,20.8767744,21.557888,20.690432,21.2430336,15190950
2018-01-04,21.20448,21.3201408,20.8542848,20.899264,11841697
2018-01-05,20.851072,20.947456,20.5073024,20.6840064,10487000
2018-01-08,20.754688,21.3137152,20.7321984,20.9506688,13674015
2018-01-09,20.947456,21.2623104,20.786816,21.0181376,9430926
2018-01-10,21.075968,21.1948416,20.8446464,21.0984576,9426504
2018-01-11,21.1980544,21.1980544,20.8446464,21.011712,7629868
2018-01-12,21.0952448,21.798848,21.0823936,21.5514624,19597880
2018-01-15,21.60608,21.879168,20.8446464,20.9281792,15189034
2018-01-16,20.72256,21.12416,20.7097088,20.818944,9591973
2018-01-17,20.7803904,20.7803904,20.0832128,20.4816,11652506
2018-01-18,20.6197504,20.7482624,20.2020864,20.2952576,7370145
2018-01-19,20.433408,20.4430464,20.1378304,20.304896,5237008
2018-01-22,20.4591104,21.5289728,20.4398336,21.397248,17265708
2018-01-23,21.4100992,21.6446336,21.2237568,21.4647168,12351848
2018-01-24,21.541824,21.5546752,21.04384,21.3683328,7641650
2018-01-25,21.3715456,21.6767616,21.0631168,21.0888192,8083989
2018-01-26,21.0888192,21.300864,20.8832,21.04384,6355866
2018-01-29,21.1659264,21.1659264,20.176384,20.208512,12521938
2018-01-30,20.2020864,20.545856,20.1635328,20.385216,5587707
2018-01-31,20.256704,20.5490688,20.208512,20.2534912,5429788
2018-02-01,20.256704,20.3980672,19.2382464,19.4888448,12698390
2018-02-02,19.469568,20.0061056,19.3282048,19.887232,6972102
2018-02-05,19.373184,19.8486784,19.3539072,19.7490816,4061040
2018-02-06,19.2768,19.5595264,18.79488,18.7980928,10398563
2018-02-07,19.2735872,19.4020992,18.3225984,18.923392,8208535
2018-02-08,18.923392,19.2382464,18.7980928,19.1193728,4597233
2018-02-09,18.602112,18.778816,18.0977024,18.200512,9307603
2018-02-12,18.345088,19.2768,18.345088,19.1547136,8051516
2018-02-13,19.2768,19.4759936,19.0551168,19.11616,5508074
2018-02-14,19.6559104,19.75872,19.341056,19.43744,5590212
2018-02-22,19.9129344,20.353088,19.694464,20.0221696,9741308
2018-02-23,20.0285952,20.3434496,19.8583168,20.176384,5983648
2018-02-26,20.5233664,21.1048832,20.5233664,20.8542848,15611445
2018-02-27,20.72256,20.8607104,20.3627264,20.3884288,10065076
2018-02-28,20.3113216,20.72256,20.1346176,20.4044928,7737117
2018-03-01,20.224576,20.3820032,20.08,20.3273856,7493469
2018-03-02,20.0832128,20.3563008,20.0382336,20.1988736,5927689
2018-03-05,20.24064,21.172352,20.2117248,20.9217536,14950507
2018-03-06,20.9249664,21.461504,20.818944,21.3908224,14968593
2018-03-07,21.20448,21.3619072,20.72256,20.7321984,9494193
2018-03-08,20.8221568,21.0727552,20.5972608,20.8414336,6430185
2018-03-09,20.8832,21.140224,20.6807936,21.059904,8751471
2018-03-12,21.2141184,21.5771648,21.0502656,21.477568,13719565
2018-03-13,21.477568,21.6864,21.1016704,21.20448,11811185
2018-03-14,21.108096,21.1691392,20.6775808,20.6775808,9978066
2018-03-15,20.5683456,21.0245632,20.5683456,20.786816,7805325
2018-03-16,20.7996672,21.0406272,20.626176,20.6358144,6841467
2018-03-19,20.64224,20.835008,20.529792,20.64224,5023529
2018-03-20,20.465536,20.465536,19.91936,20.176384,10842684
2018-03-21,20.2374272,20.5040896,20.047872,20.112128,8334041
2018-03-22,20.224576,20.3016832,19.887232,20.1089152,5897749
2018-03-23,19.2671616,19.9000832,18.891264,19.1097344,12822271
2018-03-26,18.9523072,19.43744,18.63424,19.405312,8401212
2018-03-27,19.630208,19.790848,19.5081216,19.694464,7205320
2018-03-28,17.7250176,18.6470912,17.7250176,18.0527232,33011758
2018-03-29,17.8985088,18.088064,17.5129728,17.9884672,14004222
2018-03-30,18.2744064,18.3065344,17.9948928,18.088064,8090050
2018-04-02,18.15232,18.1715968,17.863168,17.8856576,8326611
2018-04-03,17.6704,17.6704,17.252736,17.4358656,12363418
2018-04-04,17.525824,17.782848,17.461568,17.6125696,8153662
2018-04-09,17.638272,18.3065344,17.638272,18.1009152,11984061
2018-04-10,18.0977024,18.55392,17.9531264,18.2037248,10846948
2018-04-11,18.216576,18.2711936,17.927424,18.0334464,7456937
2018-04-12,18.039872,18.1169792,17.927424,17.959552,5243763
2018-04-13,18.0591488,18.120192,17.8214016,17.863168,4133347
2018-04-16,17.83104,18.0141696,17.574016,17.6446976,5304659
2018-04-17,17.7089536,17.766784,17.1916928,17.2173952,7227299
2018-04-18,17.413376,17.445504,16.7001344,17.172416,9204701
2018-04-19,17.1435008,17.413376,17.0374784,17.3073536,5136294
2018-04-20,17.34912,17.34912,16.738688,16.7900928,5854371
2018-04-23,16.7836672,17.0888832,16.738688,17.011776,5392605
2018-04-24,16.9892864,17.381248,16.9892864,17.3748224,5542609
2018-04-25,17.3041408,17.4101632,17.220608,17.2977152,4487094
2018-04-26,17.3202048,17.381248,16.8672,16.8768384,5253581
2018-04-27,17.0631808,17.1499264,16.8800512,17.0149888,4199609
2018-05-02,16.321024,16.3242368,15.7073792,15.82304,14000805
2018-05-03,15.8262528,15.9933184,15.6077824,15.9387008,7399793
2018-05-04,15.774848,15.887296,15.7298688,15.82304,4959069
2018-05-07,16.0254464,16.321024,15.74272,16.1796608,7491973
2018-05-08,16.1828736,16.819008,16.1796608,16.6680064,8114348
2018-05-09,16.70656,16.7129856,16.4527488,16.54592,4674431
2018-05-10,16.594112,16.819008,16.4366848,16.6551552,4166991
2018-05-11,16.6519424,17.156352,16.4880896,17.011776,9219343
